experiment_id,label,mauve,dp_acc_eps05
IMG-01,SVHN full,0.9981040637909822,0.9597
IMG-02,SVHN {0-4}→MNIST {0-4},0.9976648514025713,0.9846
IMG-03,SVHN {5-9}→MNIST {0-4},0.9973300492054278,0.9684
IMG-04,SVHN AE,0.9961947439312882,0.8771
IMG-05,SVHN 10%,0.9979521580452828,0.9534
IMG-06,SVHN 25%,0.9983091068013603,0.9529
IMG-07,SVHN 50%,0.9981649118328961,0.9552
IMG-08,CIFAR-10,0.996637809123131,0.9419
IMG-09,SVHN+Aug,0.9982543009385383,0.9585
IMG-10,FashionMNIST,0.9966740812599051,0.9355
