Experiment,ε=0.5,ε=1.0,ε=2.0,ε=4.0,ε=8.0,ε=∞
No pretrain,0.923±0.004,0.924±0.004,0.924±0.004,0.923±0.003,0.923±0.004,0.990±0.001
SVHN full,0.960±0.000,0.961±0.000,0.961±0.000,0.961±0.001,0.961±0.001,0.991±0.001
SVHN {0-4}→MNIST {0-4},0.985±0.001,0.985±0.001,0.984±0.000,0.984±0.000,0.984±0.000,0.998±0.000
SVHN {5-9}→MNIST {0-4},0.968±0.000,0.968±0.000,0.968±0.001,0.968±0.001,0.968±0.001,0.997±0.000
SVHN AE,0.877±0.006,0.877±0.003,0.877±0.001,0.877±0.002,0.877±0.002,0.988±0.000
SVHN 10%,0.953±0.000,0.953±0.001,0.954±0.001,0.954±0.000,0.953±0.000,0.990±0.000
SVHN 25%,0.953±0.001,0.953±0.000,0.953±0.000,0.953±0.000,0.953±0.000,0.989±0.001
SVHN 50%,0.955±0.000,0.956±0.000,0.956±0.000,0.956±0.000,0.956±0.000,0.990±0.000
CIFAR-10,0.942±0.000,0.943±0.000,0.943±0.000,0.943±0.000,0.943±0.000,0.991±0.000
SVHN+Aug,0.958±0.001,0.959±0.000,0.959±0.000,0.960±0.000,0.960±0.000,0.990±0.000
FashionMNIST,0.936±0.000,0.936±0.000,0.936±0.000,0.936±0.000,0.936±0.000,0.990±0.001
